Card Name,Card Number,Variant,Region,Purchase Options,Source Rows
N's Darmanitan,JTG027,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,45
Iono's Voltorb,JTG047,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,32
Iono's Bellibolt ex,JTG053,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,30
Iono's Kilowattrel,JTG055,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,31
Lillie's Clefairy ex,JTG056,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,38
Lillie's Ribombee,JTG067,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,39
Mamoswine ex,JTG079,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,41
Tyranitar,JTG095,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,57
N's Zoroark ex,JTG098,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,47
Hop's Zacian ex,JTG111,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,29
N's Reshiram,JTG116,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,46
Hop's Snorlax,JTG117,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,28
Hop's Dubwool,JTG136,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,27
Brock's Scouting,JTG146,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,64
Hop's Bag,JTG147,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,74
Hop's Choice Band,JTG148,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,75
Iris's Fighting Spirit,JTG149,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,76
Levincia,JTG150,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,78
Lillie's Pearl,JTG151,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,79
N's Castle,JTG152,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,82
N's PP Up,JTG153,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,83
Postwick,JTG154,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,84
Budew,PRE004,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,8
Leafeon ex,PRE006,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,37
Flareon ex,PRE014,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,20
Vaporeon ex,PRE023,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,59
Glaceon ex,PRE026,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,24
Jolteon ex,PRE030,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,34
Espeon ex,PRE034,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,17
Umbreon ex,PRE060,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,58
Eevee ex,PRE075,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,16
Regigigas,PRE086,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,50
Max Rod,PRE116,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,80
Joltik,SCR050,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,35
Archaludon,SCR107,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,2
Noctowl,SCR115,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,44
Fan Rotom,SCR118,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,18
Bouffalant,SCR119,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,7
Terapagos ex,SCR128,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,56
Area Zero Underdepths,SCR131,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,60
Briar,SCR132,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,62
Crispin,SCR133,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,70
Glass Trumpet,SCR135,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,72
Sparkling Crystal,SCR142,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,88
Galvantula,SFA002,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,22
Dusclops,SFA019,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,13
Dusknoir,SFA020,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,14
Fezandipiti ex,SFA038,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,19
Colress's Tenacity,SFA057,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,68
Night Stretcher,SFA061,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,81
Powerglass,SFA063,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,85
Ho-Oh,SSP019,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,26
Ceruledge ex,SSP036,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,9
Pikachu ex,SSP057,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,48
Magneton,SSP059,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,40
Tapu Koko,SSP065,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,52
Azumarill,SSP074,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,4
Latias ex,SSP076,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,36
Sylveon ex,SSP086,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,51
Gastrodon,SSP107,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,23
Archaludon ex,SSP130,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,3
Eevee,SSP143,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,15
Terapagos,SSP161,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,55
Brilliant Blender,SSP164,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,63
Counter Gain,SSP169,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,69
Gravity Mountain,SSP177,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,73
Scramble Switch,SSP186,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,87
Tera Orb,SSP189,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,89
Basic Grass Energy,SVE009,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,90
Basic Fire Energy,SVE010,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,91
Basic Water Energy,SVE011,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,92
Basic Lightning Energy,SVE012,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,93
Basic Psychic Energy,SVE013,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,94
Basic Fighting Energy,SVE014,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,95
Basic Darkness Energy,SVE015,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,96
Basic Metal Energy,SVE016,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,97
Rabsca,TEF024,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,49
Drilbur,TEF085,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,11
Metang,TEF114,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,42
Dudunsparce,TEF129,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,12
Bianca's Devotion,TEF142,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,61
Buddy-Buddy Poffin,TEF144,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,65
Prime Catcher,TEF157,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,86
Teal Mask Ogerpon ex,TWM025,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,54
Froslass,TWM053,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,21
Iron Thorns ex,TWM077,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,33
Munkidori,TWM095,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,43
Conkeldurr,TWM105,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,10
Greninja ex,TWM106,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,25
Tatsugiri,TWM131,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,53
Blissey ex,TWM134,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,5
Bloodmoon Ursaluna ex,TWM141,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,6
Bug Catching Set,TWM143,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,66
Carmine,TWM145,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,67
Enhanced Hammer,TWM148,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,71
Jamming Tower,TWM153,Play Pokemon Stamp,US/UK,Play Pokemon Prize Pack Series Seven - Play Pokemon Prize Pack Series Seven,77
